battery_kwh,solar_kwp,system_cost,baseline_cost,monthly_savings,grid_import_kwh,grid_export_kwh,solar_production_kwh,consumption_kwh,self_consumption_pct,self_sufficiency_pct,simulation_days,investment_cost,total_savings,payback_months,payback_years
0.0,10,170.05655656250028,835.4371500000112,54.83905989869595,266.85329206730626,650.3085885989002,842.4866976304944,459.03140109890114,22.810818209011227,41.866004933764636,364,6966.0,665.3805934375109,127.02624758462807,10.585520632052338
3.33,12,46.77123762389021,835.4371500000112,64.99993783319678,197.51631350011135,644.3168673344272,914.4864981788725,459.03140109890114,29.543315443417335,56.97106711495859,364,8352.4,788.665912376121,128.49858443609557,10.708215369674631
13.32,16,-217.9056566867328,835.4371500000112,86.81396758407232,45.96952941428579,621.3671707844749,1062.2491120062032,459.03140109890114,41.504571407836934,89.9855370886966,364,11191.6,1053.342806686744,128.91473931498223,10.742894942915186
6.66,14,-71.13661269376445,835.4371500000112,74.71761780443207,131.8263609000834,640.9215443652057,985.0501226682553,459.03140109890114,34.93513379510995,71.28162461554986,364,9638.8,906.5737626937757,129.00304216374855,10.750253513645712
16.65,16,-239.48631616864168,835.4371500000112,88.59259336554831,29.379965053021962,603.6219489666365,1063.2809393339062,459.03140109890114,43.23024831567315,93.599574019841,364,11458.0,1074.9234661686528,129.3336109117194,10.777800909309951
9.99,2,483.24296775420225,835.4371500000112,29.026993042237006,265.5596034040789,0.15558470031128718,202.14536373626368,459.03140109890114,99.9230332581289,42.14783503517606,364,3785.2,352.194182245809,130.4027597516621,10.866896645971842
0.0,2,568.0714750749942,835.4371500000112,22.035632548765143,332.214873832417,75.32883646978021,202.14536373626368,459.03140109890114,62.735313302529796,27.62698302619186,364,2886.0,267.36567492501706,130.9696916398131,10.914140969984425
9.99,16,-170.99903418092651,835.4371500000112,82.9480371577696,76.50540840247257,639.228456332607,1045.639501296706,459.03140109890114,38.86722378602809,83.3332952344171,364,10925.2,1006.4361841809377,131.7113746672504,10.975947888937533
16.65,18,-253.7250854575714,835.4371500000112,89.76611830694362,27.38283908715655,625.4708501295233,1087.1900352329412,459.03140109890114,42.46904130283809,94.03464795183876,364,12478.0,1089.1622354575827,139.0056764773218,11.58380637311015
13.32,18,-230.43383885621773,835.4371500000112,87.84651007056831,44.004323343667565,639.8112101820564,1082.711780598025,459.03140109890114,40.906599369532756,90.4136572708701,364,12211.6,1065.870988856229,139.0106447050686,11.58422039208905
13.32,2,482.9274153484449,835.4371500000112,29.053000108645573,265.3447337079388,0.0,202.14536373626368,459.03140109890114,100.0,42.1946444028197,364,4051.6,352.5097346515663,139.45547739816126,11.621289783180105
6.66,16,-83.63033268266597,835.4371500000112,75.74732000131955,129.75082977230875,658.8808575582368,1005.119849200822,459.03140109890114,34.44753299000932,71.73377911365301,364,10658.8,919.0674826826772,140.7152094597448,11.726267454978734
3.33,14,32.6361917319581,835.4371500000112,66.16491414297141,195.20980689927362,664.7918753256512,937.2748550046109,459.03140109890114,29.071832901952682,57.473539624533345,364,9372.4,802.8009582680531,141.65211458973252,11.80434288247771
0.0,12,152.77722582500047,835.4371500000112,56.26318056387451,263.8784223214276,674.7558436813164,869.9088224587912,459.03140109890114,22.43372796540634,42.5140803679848,364,7986.0,682.6599241750107,141.94007377406697,11.828339481172248
9.99,18,-182.24944698266734,835.4371500000112,83.8752689820889,74.55041086462916,655.0780111736759,1063.4961319902595,459.03140109890114,38.40334802649985,83.75919148751943,364,11945.2,1017.6865969826786,142.41623478490223,11.868019565408519
